Sn135,0.492418,0.112383,2.56977e-06,0.92849,0.00165121,0.917618,60.0414,150,0.05,9.05
Sn136,0.384414,0.0203574,0.211793,0.0189087,2.28212e-08,0.152512,60.4963,225,0.05,9.05
Sn137,0.201764,0.0160647,0.17394,0.0384053,3.25894e-07,0.0435955,59.745,225,0.05,9.05
Sn138,0.0887647,0.0287152,2.0854e-09,0.227935,3.52138e-08,0.776983,49.9184,100,0.05,9.05
Ag130,0.0211899,0.000493031,1.89698e-08,0.746857,0.798685,0.0634385,79.6838,225,0.05,9.05
Ag131,0.0349135,0.00860865,1.49723e-07,0.731098,1,0.741058,47.1798,150,0.05,9.05
Cd129,0.113833,0.0211196,0.0145354,0.0870838,7.64632e-07,0.641921,39.2816,450,0.05,9.05
Cd130,0.137492,0.00460833,0.03391,0.00785529,0.00359251,0.0038301,58.5739,225,0.05,9.05
Cd131,0.165586,0.00280938,0.0682232,0.0111842,0.00381254,0.00776047,88.0254,450,0.05,9.05
Cd132,0.0666217,0.00768143,0.641339,0.153912,0.282152,0.146618,44.009,225,0.05,9.05
Cd133,0.0614263,0.032252,0.341736,0.394487,4.2401e-07,0.796286,57.4464,225,0.05,9.05
In131,0.333158,0.0321957,0.0255278,0.0345827,0.000165424,0.000169597,53.5713,450,0.05,9.05
In132,0.199109,0.042733,0.0647884,0.726504,0.00777562,0.891956,57.6895,450,0.05,9.05
In133,0.155102,0.00689452,0.895448,0.041654,6.87284e-13,0.00357472,30.2668,225,0.05,9.05
In134,0.129497,0.00629413,0.831469,0.0584136,0.124479,0.0252984,40.8753,225,0.05,9.05
In135,0.0612787,0.0106759,0.860656,0.128655,1.0799e-06,0.880304,45.8271,225,0.05,9.05
Sn134,1.5763,0.342326,0.112208,0.219679,0.00880084,0.992578,80.3633,150,0.05,9.05
Sn135,0.492418,0.112383,2.56977e-06,0.92849,0.00165121,0.917618,60.0414,150,0.05,9.05
Sn136,0.384414,0.0203574,0.211793,0.0189087,2.28212e-08,0.152512,60.4963,225,0.05,9.05
Sn137,0.201764,0.0160647,0.17394,0.0384053,3.25894e-07,0.0435955,59.745,225,0.05,9.05
Sn138,0.0887647,0.0287152,2.0854e-09,0.227935,3.52138e-08,0.776983,49.9184,100,0.05,9.05
Ag130,0.0213116,0.000713715,6.00826e-08,0.996926,0.811133,0.0908937,79.9275,225,0.05,9.05
Ag131,0.0351123,0.00870254,1.36741e-09,0.706821,1,0.771728,46.9873,150,0.05,9.05
Cd129,0.113838,0.0212767,0.013958,0.0757811,6.20711e-09,0.630399,39.2766,450,0.05,9.05
Cd130,0.137477,0.00460827,0.0322171,0.00718032,0.0031545,0.00336525,58.5521,225,0.05,9.05
