# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	25000				
# Code 	brikenV68				
# Date 	13Feb18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	70.25%	68.24%	70.37%		
# Average [1e-4, 5] MeV	62.81%	62.68%	62.76%		
# Average [1e-4, 10] MeV	54.10%	54.44%	54.08%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	5	0.04	0.6977	0.0053
0	0	5	0.07	0.6982	0.0053
0	0	5	0.1	0.6912	0.0053
0	0	5	0.2	0.6873	0.0052
0	0	5	0.3	0.6914	0.0053
0	0	5	0.4	0.681	0.0052
0	0	5	0.5	0.685	0.0052
0	0	5	0.6	0.6777	0.0052
0	0	5	0.7	0.6762	0.0052
0	0	5	0.8	0.6748	0.0052
0	0	5	0.9	0.6744	0.0052
0	0	5	1	0.6705	0.0052
0	0	5	1.1	0.6642	0.0052
0	0	5	1.2	0.6589	0.0051
0	0	5	1.3	0.6523	0.0051
0	0	5	1.4	0.6527	0.0051
0	0	5	1.5	0.6494	0.0051
0	0	5	1.6	0.6446	0.0051
0	0	5	1.7	0.6417	0.0051
0	0	5	1.8	0.6384	0.0051
0	0	5	1.9	0.6283	0.005
0	0	5	2	0.6212	0.005
0	0	5	2.1	0.6198	0.005
0	0	5	2.2	0.6234	0.005
0	0	5	2.3	0.6145	0.005
0	0	5	2.4	0.6082	0.0049
0	0	5	2.5	0.6094	0.0049
0	0	5	2.6	0.6054	0.0049
0	0	5	2.7	0.6038	0.0049
0	0	5	2.8	0.6048	0.0049
0	0	5	2.9	0.6057	0.0049
0	0	5	3	0.5888	0.0049
0	0	5	3.1	0.5948	0.0049
0	0	5	3.2	0.5904	0.0049
0	0	5	3.3	0.5949	0.0049
0	0	5	3.4	0.5877	0.0048
0	0	5	3.5	0.589	0.0049
0	0	5	3.6	0.586	0.0048
0	0	5	3.7	0.5817	0.0048
0	0	5	3.8	0.5795	0.0048
0	0	5	3.9	0.579	0.0048
0	0	5	4	0.5619	0.0047
0	0	5	4.1	0.5672	0.0048
0	0	5	4.2	0.5573	0.0047
0	0	5	4.3	0.544	0.0047
0	0	5	4.4	0.5438	0.0047
0	0	5	4.5	0.5362	0.0046
0	0	5	4.6	0.5369	0.0046
0	0	5	4.7	0.527	0.0046
0	0	5	4.8	0.5284	0.0046
0	0	5	4.9	0.5233	0.0046
0	0	5	5	0.521	0.0046
0	0	5	5.1	0.519	0.0046
0	0	5	5.2	0.513	0.0045
0	0	5	5.3	0.5014	0.0045
0	0	5	5.4	0.512	0.0045
0	0	5	5.5	0.5074	0.0045
0	0	5	5.6	0.4989	0.0045
0	0	5	5.7	0.493	0.0044
0	0	5	5.8	0.4927	0.0044
0	0	5	5.9	0.4936	0.0044
0	0	5	6	0.488	0.0044
0	0	5	6.1	0.4906	0.0044
0	0	5	6.2	0.4911	0.0044
0	0	5	6.3	0.5102	0.0045
0	0	5	6.4	0.484	0.0044
0	0	5	6.5	0.4659	0.0043
0	0	5	6.6	0.4654	0.0043
0	0	5	6.7	0.4678	0.0043
0	0	5	6.8	0.4568	0.0043
0	0	5	6.9	0.4471	0.0042
0	0	5	7	0.4478	0.0042
0	0	5	7.1	0.4495	0.0042
0	0	5	7.2	0.4433	0.0042
0	0	5	7.3	0.4466	0.0042
0	0	5	7.4	0.4529	0.0043
0	0	5	7.5	0.4568	0.0043
0	0	5	7.6	0.4568	0.0043
0	0	5	7.7	0.4586	0.0043
0	0	5	7.8	0.451	0.0042
0	0	5	7.9	0.4476	0.0042
0	0	5	8	0.4375	0.0042
0	0	5	8.1	0.4349	0.0042
0	0	5	8.2	0.4199	0.0041
0	0	5	8.3	0.4152	0.0041
0	0	5	8.4	0.4114	0.0041
0	0	5	8.5	0.4066	0.004
0	0	5	8.6	0.4051	0.004
0	0	5	8.7	0.4045	0.004
0	0	5	8.8	0.4017	0.004
0	0	5	8.9	0.3994	0.004
0	0	5	9	0.39	0.0039
0	0	5	9.1	0.3894	0.0039
0	0	5	9.2	0.3801	0.0039
0	0	5	9.3	0.3753	0.0039
