# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	250000				
# Code 	brikenV69				
# Date 	04May18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	69.03%	67.03%	69.00%		
# Average [1e-4, 5] MeV	62.01%	61.55%	61.87%		
# Average [1e-4, 10] MeV	53.78%	53.66%	53.66%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	-2.5	8.1	0.4387	0.0013
0	0	-2.5	8.2	0.4294	0.0013
0	0	-2.5	8.3	0.4209	0.0013
0	0	-2.5	8.4	0.4137	0.0013
0	0	-2.5	8.5	0.4122	0.0013
0	0	-2.5	8.6	0.41	0.0013
0	0	-2.5	8.7	0.4084	0.0013
0	0	-2.5	8.8	0.4078	0.0013
0	0	-2.5	8.9	0.4035	0.0013
0	0	-2.5	9	0.3941	0.0013
0	0	-2.5	9.1	0.3894	0.0012
0	0	-2.5	9.2	0.3866	0.0012
0	0	-2.5	9.3	0.3795	0.0012
0	0	-2.5	9.4	0.3803	0.0012
0	0	-2.5	9.5	0.379	0.0012
0	0	-2.5	9.6	0.3803	0.0012
0	0	-2.5	9.7	0.3758	0.0012
0	0	-2.5	9.8	0.3732	0.0012
0	0	-2.5	9.9	0.3691	0.0012
0	0	-2.5	10	0.3667	0.0012
					
0	0	0	0.000000001	0.5123	0.0014
0	0	0	0.000000004	0.5266	0.0015
0	0	0	0.000000007	0.5342	0.0015
0	0	0	0.00000001	0.5423	0.0015
0	0	0	0.00000004	0.5744	0.0015
0	0	0	0.00000007	0.594	0.0015
0	0	0	0.0000001	0.6087	0.0016
0	0	0	0.0000004	0.6403	0.0016
0	0	0	0.0000007	0.6487	0.0016
0	0	0	0.000001	0.6538	0.0016
0	0	0	0.000004	0.666	0.0016
0	0	0	0.000007	0.6689	0.0016
0	0	0	0.00001	0.669	0.0016
0	0	0	0.00004	0.6736	0.0016
0	0	0	0.00007	0.6751	0.0016
0	0	0	0.0001	0.6764	0.0016
0	0	0	0.0004	0.6748	0.0016
0	0	0	0.0007	0.6759	0.0016
0	0	0	0.001	0.6753	0.0016
0	0	0	0.004	0.6756	0.0016
0	0	0	0.007	0.6735	0.0016
0	0	0	0.01	0.673	0.0016
0	0	0	0.04	0.6733	0.0016
0	0	0	0.07	0.6715	0.0016
0	0	0	0.1	0.6741	0.0016
0	0	0	0.2	0.6732	0.0016
0	0	0	0.3	0.6732	0.0016
0	0	0	0.4	0.6696	0.0016
0	0	0	0.5	0.6694	0.0016
0	0	0	0.6	0.6675	0.0016
0	0	0	0.7	0.6637	0.0016
0	0	0	0.8	0.6625	0.0016
0	0	0	0.9	0.6579	0.0016
0	0	0	1	0.6552	0.0016
0	0	0	1.1	0.6528	0.0016
0	0	0	1.2	0.6502	0.0016
0	0	0	1.3	0.6458	0.0016
0	0	0	1.4	0.6418	0.0016
0	0	0	1.5	0.6382	0.0016
0	0	0	1.6	0.635	0.0016
0	0	0	1.7	0.6326	0.0016
0	0	0	1.8	0.6268	0.0016
0	0	0	1.9	0.6246	0.0016
0	0	0	2	0.6211	0.0016
0	0	0	2.1	0.6186	0.0016
0	0	0	2.2	0.6138	0.0016
0	0	0	2.3	0.6097	0.0016
0	0	0	2.4	0.6061	0.0016
0	0	0	2.5	0.6063	0.0016
0	0	0	2.6	0.6017	0.0016
0	0	0	2.7	0.6001	0.0015
0	0	0	2.8	0.5961	0.0015
0	0	0	2.9	0.6002	0.0015
0	0	0	3	0.5839	0.0015
0	0	0	3.1	0.5863	0.0015
0	0	0	3.2	0.5872	0.0015
0	0	0	3.3	0.5871	0.0015
0	0	0	3.4	0.5878	0.0015
0	0	0	3.5	0.5866	0.0015
0	0	0	3.6	0.5813	0.0015
0	0	0	3.7	0.5785	0.0015
0	0	0	3.8	0.5756	0.0015
0	0	0	3.9	0.5704	0.0015
0	0	0	4	0.5667	0.0015
0	0	0	4.1	0.5593	0.0015
0	0	0	4.2	0.5569	0.0015
0	0	0	4.3	0.5457	0.0015
0	0	0	4.4	0.5433	0.0015
0	0	0	4.5	0.5366	0.0015
0	0	0	4.6	0.5323	0.0015
0	0	0	4.7	0.5274	0.0015
0	0	0	4.8	0.5242	0.0014
0	0	0	4.9	0.521	0.0014
0	0	0	5	0.519	0.0014
0	0	0	5.1	0.5136	0.0014
0	0	0	5.2	0.5129	0.0014
0	0	0	5.3	0.5073	0.0014
0	0	0	5.4	0.5067	0.0014
0	0	0	5.5	0.5053	0.0014
0	0	0	5.6	0.5004	0.0014
0	0	0	5.7	0.4962	0.0014
0	0	0	5.8	0.4947	0.0014
0	0	0	5.9	0.493	0.0014
0	0	0	6	0.4913	0.0014
0	0	0	6.1	0.4905	0.0014
0	0	0	6.2	0.4914	0.0014
0	0	0	6.3	0.5087	0.0014
0	0	0	6.4	0.4806	0.0014
